jp_hira_or_kata,jp_kanji,vi
みず,水,Nước
おちゃ,お茶,Trà
すし,寿司,Sushi
ごはん,ご飯,Cơm
ください,,Xin vui lòng
と,と,Và
いしゃ,医者,Bác sĩ
せんせい,先生,Giáo viên
べんごし,弁護士,Luật sư
ひと,人,Người
かっこい,,"Đẹp trai, ngầu"
やさしい,優しい,Hiền lành
こんにちは,,Xin chào
どうぞよろしく,,Rất mong được giúp đỡ
こんばんは,,Chào buổi tối
じゃあね,,Tạm biệt
またあした,,Gặp lại bạn vào ngày mai
さん,,"Ngài, bà, ông (hậu tố tên)"
これ,,Cái này
それ,,Cái đó
は,,Là
はい,,Vâng
いいえ,,Không
カレー,,Cà ri
ラーメン,,Mì ramen
おいしい,美味しい,Ngon
アメリカ,,Mỹ
カナダ,,Canada
ブラジル,,Brazil
イギリス,,Anh (nước Anh)
ちいさい,小さい,Nhỏ
おおきい,大きい,Lớn
どこ,,Ở đâu
ホテル,,Khách sạn
そこ,,Ở đó
バスてい,バス停,Trạm xe buýt
ここ,,Ở đây
デパート,,Cửa hàng bách hóa
コンビニ,,Cửa hàng tiện lợi
えき,駅,Nhà ga
だいごく,大学,Đại học
ぼうし,帽子,"Mũ, nón"
かさ,傘,"Ô, dù"
あかい,赤い,Đỏ
くつ,靴,Giày
コート,,Áo khoác
これら,,Những cái này
しろい,白い,Trắng
それら,,Những cái đó
おもしろい,面白い,"Thú vị, hấp dẫn"
その,,"Cái đó, của cái đó"
かわいい,可愛い,"Dễ thương, đáng yêu"
この,,Cái này
あかるい,明るい,Sáng sủa
いち,一,Số 1
に,二,Số 2
さん,三,Số 3
じ,時,Giờ
いま,今,Bây giờ
すみません,,"Xin lỗi, làm phiền"
ちかてつ,地下鉄,Tàu điện ngầm
パスポート,,Hộ chiếu
スマホ,,Điện thoại thông minh
きっぷ,切符,Vé
くうこう,空港,Sân bay
ちず,地図,Bản đồ
の,,Của
かばん,鞄,"Cặp sách, túi xách"
やま,山,Núi
ぐち,口,"Cửa, miệng"
た,田,Ruộng
なか,中,Bên trong
じゃないです,,Không phải
おはようございます,,Chào buổi sáng
ようこそ,,Chào mừng
わたし,私,Tôi
とうきょう,東京,Tokyo
きょうと,京都,Kyoto
にほん,日本,Nhật Bản
も,,Cũng
ニュ―ローク,,New York
おおさか,大阪,Osaka
とし,年,Năm
にぎやか,賑やか,Náo nhiệt
しずか,静か,Yên tĩnh
きれい,綺麗,Đẹp
とても,,Rất
まち,町,"Thành phố, thị trấn"